model,model_family,strategy,calibration_method,split,bin,lower,upper,count,mean_predicted_probability,observed_default_rate,absolute_gap,weighted_gap
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,3,0.2,0.30000000000000004,2541,0.24133688141655987,0.24478551751279023,0.003448636096230362,0.00018997516249748194
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,4,0.30000000000000004,0.4,900,0.34099346644348566,0.3411111111111111,0.00011764466762542725,2.2954061799571732e-06
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,5,0.4,0.5,304,0.44083273224532604,0.4473684210526316,0.00653568880730554,4.30734580055257e-05
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,6,0.5,0.6000000000000001,112,0.539396443005119,0.49107142857142855,0.04832501443369047,0.00011733695268656823
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,7,0.6000000000000001,0.7000000000000001,27,0.6407028701570299,0.6296296296296297,0.011073240527400219,6.481615848414289e-06
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,8,0.7000000000000001,0.8,3,0.7255623737970988,0.6666666666666666,0.05889570713043213,3.830449007984399e-06
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,9,0.8,0.9,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,raw,test,10,0.9,1.0,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,1,0.0,0.1,38199,0.052702601884157055,0.05005366632634362,0.0026489355578134324,0.002193654245299181
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,2,0.1,0.2,5126,0.13573998491091294,0.1648458837300039,0.029105898819090953,0.003234479531438425
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,3,0.2,0.30000000000000004,1316,0.2421980013111728,0.28495440729483285,0.04275640598366004,0.0012198371945822753
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,4,0.30000000000000004,0.4,627,0.3447532039768877,0.34290271132376393,0.0018504926531237587,2.515357368804814e-05
