model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.72,42402,1,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.73,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.74,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.75,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.76,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.77,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.78,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.79,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.8,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.81,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.82,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.83,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.84,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.85,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.86,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.87,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.88,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.89,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.9,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.91,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.92,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.93,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.94,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.95,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.96,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.97,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.98,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.0,0.0,0.0,0.99,42403,0,3724,0
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.08073362672621241,1.0,0.14940522757818298,0.01,0,42403,0,3724
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.08073362672621241,1.0,0.14940522757818298,0.02,0,42403,0,3724
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.08073362672621241,1.0,0.14940522757818298,0.03,0,42403,0,3724
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.09389075847786695,0.973952738990333,0.1712707182320442,0.04,7400,35003,97,3627
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.1283275345901772,0.8517722878625135,0.22305041839533085,0.05,20857,21546,552,3172
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.15649416827086401,0.7422126745435016,0.25848686056298514,0.06,27505,14898,960,2764
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.1796967020023557,0.6554779806659506,0.2820660966027271,0.07,31260,11143,1283,2441
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.19895479966993673,0.5827067669172933,0.2966304422117422,0.08,33666,8737,1554,2170
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.21521620142309797,0.5279269602577873,0.3057780542810483,0.09,35234,7169,1758,1966
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.22856039144990986,0.47663802363050484,0.308964316797215,0.1,36412,5991,1949,1775
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.2461629279811098,0.44790547798066593,0.3177142857142857,0.11,37295,5108,2056,1668
