selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
valid,0.7556212013351608,0.24106769402917658,0.11891812972223235,0.8748657357679914,0.20937630538864432,0.33,18264,24139,466,3258
valid,0.7556212013351608,0.24106769402917658,0.12061428091021185,0.8668098818474759,0.2117623905271099,0.34,18868,23535,496,3228
valid,0.7556212013351608,0.24106769402917658,0.12227441096727384,0.859828141783029,0.21410183544515396,0.35,19418,22985,522,3202
valid,0.7556212013351608,0.24106769402917658,0.124296875,0.8544575725026853,0.21702359841767835,0.36,19985,22418,542,3182
valid,0.7556212013351608,0.24106769402917658,0.1262062062062062,0.8464017185821697,0.21965922157566467,0.37,20580,21823,572,3152
valid,0.7556212013351608,0.24106769402917658,0.1279904797078255,0.8375402792696026,0.22204819705976578,0.38,21153,21250,605,3119
valid,0.7556212013351608,0.24106769402917658,0.1298995924883418,0.8302900107411385,0.2246521596977513,0.39,21692,20711,632,3092
valid,0.7556212013351608,0.24106769402917658,0.13139125204090402,0.8211600429645542,0.22653529891103044,0.4,22187,20216,666,3058
valid,0.7556212013351608,0.24106769402917658,0.133051742344245,0.8120300751879699,0.22864055647966128,0.41,22699,19704,700,3024
valid,0.7556212013351608,0.24106769402917658,0.13478123447871043,0.8015574650912997,0.23076031077267983,0.42,23241,19162,739,2985
valid,0.7556212013351608,0.24106769402917658,0.13678458973884053,0.793233082706767,0.23333333333333334,0.43,23761,18642,770,2954
valid,0.7556212013351608,0.24106769402917658,0.1384520359196085,0.7824919441460795,0.23527512010011709,0.44,24270,18133,810,2914
valid,0.7556212013351608,0.24106769402917658,0.14045354791514264,0.7733619763694952,0.2377316438978084,0.45,24778,17625,844,2880
valid,0.7556212013351608,0.24106769402917658,0.1423988772492607,0.7628893662728249,0.24,0.46,25293,17110,883,2841
valid,0.7556212013351608,0.24106769402917658,0.14498275240694022,0.7561761546723953,0.24331446839763252,0.47,25796,16607,908,2816
